Month,Area,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary,
February,Bulloch County,"36,953","35,551","1,402",3.80%,No,
February,Burke County,"9,320","8,853",467,5.00%,No,
February,Butts County,"10,941","10,559",382,3.50%,No,
February,Calhoun County,"2,383","2,300",83,3.50%,No,
February,Camden County,"21,032","20,245",787,3.70%,No,
February,Candler County,"5,716","5,561",155,2.70%,No,
February,Carroll County,"56,277","54,174","2,103",3.70%,No,
February,Catoosa County,"34,225","33,175","1,050",3.10%,No,
February,Charlton County,"4,894","4,710",184,3.80%,No,
February,Chatham County,"140,365","135,554","4,811",3.40%,No,
February,Chattahoochee County,"2,023","1,933",90,4.40%,No,
February,Chattooga County,"10,376","9,872",504,4.90%,No,
February,Cherokee County,"137,887","134,021","3,866",2.80%,No,
February,Clarke County,"59,920","57,803","2,117",3.50%,No,
February,Clay County,910,845,65,7.10%,No,
February,Clayton County,"140,224","134,137","6,087",4.30%,No,
February,Clinch County,"2,642","2,539",103,3.90%,No,
February,Cobb County,"431,808","418,630","13,178",3.10%,No,
February,Coffee County,"19,289","18,488",801,4.20%,No,
February,Colquitt County,"21,989","21,297",692,3.10%,No,
February,Columbia County,"75,894","73,555","2,339",3.10%,No,
February,Cook County,"8,219","7,932",287,3.50%,No,
February,Coweta County,"75,833","73,576","2,257",3.00%,No,
February,Crawford County,"5,691","5,488",203,3.60%,No,
February,Crisp County,"9,654","9,264",390,4.00%,No,
February,Dade County,"8,345","8,059",286,3.40%,No,
February,Dawson County,"12,502","12,148",354,2.80%,No,
February,Decatur County,"11,912","11,466",446,3.70%,No,
February,DeKalb County,"405,645","391,458","14,187",3.50%,No,
February,Dodge County,"7,063","6,680",383,5.40%,No,
February,Dooly County,"5,193","4,996",197,3.80%,No,
February,Dougherty County,"38,914","37,043","1,871",4.80%,No,
February,Douglas County,"74,398","71,688","2,710",3.60%,No,
February,Early County,"4,550","4,351",199,4.40%,No,
February,Echols County,"2,000","1,943",57,2.90%,No,
February,Effingham County,"31,085","30,150",935,3.00%,No,
February,Elbert County,"7,751","7,416",335,4.30%,No,
February,Emanuel County,"8,449","8,054",395,4.70%,No,
February,Evans County,"4,983","4,804",179,3.60%,No,
February,Fannin County,"11,531","11,110",421,3.70%,No,
February,Fayette County,"58,898","57,137","1,761",3.00%,No,
February,Floyd County,"44,830","43,155","1,675",3.70%,No,
February,Forsyth County,"124,008","120,589","3,419",2.80%,No,
February,Franklin County,"10,092","9,707",385,3.80%,No,
February,Fulton County,"565,766","545,846","19,920",3.50%,No,
February,Gilmer County,"11,892","11,446",446,3.80%,No,
February,Glascock County,"1,306","1,252",54,4.10%,No,
February,Glynn County,"39,132","37,820","1,312",3.40%,No,
February,Gordon County,"28,517","27,501","1,016",3.60%,No,
February,Grady County,"10,616","10,252",364,3.40%,No,
February,Greene County,"7,005","6,719",286,4.10%,No,
February,Gwinnett County,"497,011","481,670","15,341",3.10%,No,
February,Habersham County,"19,224","18,555",669,3.50%,No,
February,Hall County,"103,806","100,951","2,855",2.80%,No,
February,Hancock County,"2,549","2,408",141,5.50%,No,
February,Haralson County,"12,775","12,312",463,3.60%,No,
February,Harris County,"16,787","16,259",528,3.10%,No,
February,Hart County,"11,193","10,711",482,4.30%,No,
February,Heard County,"5,364","5,164",200,3.70%,No,
February,Henry County,"117,492","113,291","4,201",3.60%,No,
February,Houston County,"71,387","68,993","2,394",3.40%,No,
February,Irwin County,"3,451","3,288",163,4.70%,No,
February,Jackson County,"37,023","36,010","1,013",2.70%,No,
February,Jasper County,"7,058","6,850",208,2.90%,No,
February,Jeff Davis County,"6,135","5,845",290,4.70%,No,
February,Jefferson County,"6,759","6,421",338,5.00%,No,
February,Jenkins County,"3,132","2,987",145,4.60%,No,
February,Johnson County,"4,060","3,893",167,4.10%,No,
February,Jones County,"13,885","13,420",465,3.30%,No,
February,Lamar County,"8,414","8,021",393,4.70%,No,
February,Lanier County,"3,803","3,649",154,4.00%,No,
February,Laurens County,"19,144","18,176",968,5.10%,No,
February,Lee County,"14,952","14,483",469,3.10%,No,
February,Liberty County,"26,720","25,688","1,032",3.90%,No,
February,Lincoln County,"3,639","3,492",147,4.00%,No,
February,Long County,"8,359","8,066",293,3.50%,No,
February,Lowndes County,"51,877","49,959","1,918",3.70%,No,
February,Lumpkin County,"16,908","16,387",521,3.10%,No,
February,Macon County,"4,837","4,615",222,4.60%,No,
February,Madison County,"13,479","13,045",434,3.20%,No,
February,Marion County,"3,339","3,191",148,4.40%,No,
February,McDuffie County,"8,972","8,502",470,5.20%,No,
February,McIntosh County,"6,207","5,986",221,3.60%,No,
February,Meriwether County,"9,053","8,661",392,4.30%,No,
February,Miller County,"2,846","2,750",96,3.40%,No,
February,Mitchell County,"8,790","8,378",412,4.70%,No,
February,Monroe County,"13,177","12,714",463,3.50%,No,
February,Montgomery County,"3,857","3,681",176,4.60%,No,
February,Morgan County,"9,430","9,130",300,3.20%,No,
February,Murray County,"15,630","14,805",825,5.30%,No,
February,Muscogee County,"77,764","74,316","3,448",4.40%,No,
February,Newton County,"53,066","51,018","2,048",3.90%,No,
February,Oconee County,"19,754","19,262",492,2.50%,No,
February,Oglethorpe County,"7,081","6,850",231,3.30%,No,
February,Paulding County,"87,450","84,770","2,680",3.10%,No,
February,Peach County,"12,033","11,568",465,3.90%,No,
February,Pickens County,"15,536","15,045",491,3.20%,No,
February,Pierce County,"8,833","8,553",280,3.20%,No,
February,Pike County,"9,052","8,769",283,3.10%,No,
February,Polk County,"18,619","17,928",691,3.70%,No,
February,Pulaski County,"4,144","3,979",165,4.00%,No,
February,Putnam County,"8,273","7,922",351,4.20%,No,
February,Quitman County,797,761,36,4.50%,No,
February,Rabun County,"6,948","6,694",254,3.70%,No,
February,Randolph County,"2,616","2,490",126,4.80%,No,
February,Richmond County,"85,954","82,116","3,838",4.50%,No,
February,Rockdale County,"45,477","43,712","1,765",3.90%,No,
February,Schley County,"2,252","2,169",83,3.70%,No,
February,Screven County,"5,113","4,888",225,4.40%,No,
February,Seminole County,"3,124","2,990",134,4.30%,No,
February,Spalding County,"29,217","27,976","1,241",4.20%,No,
February,Stephens County,"10,717","10,296",421,3.90%,No,
February,Stewart County,"2,457","2,366",91,3.70%,No,
February,Sumter County,"13,062","12,428",634,4.90%,No,
February,Talbot County,"2,827","2,711",116,4.10%,No,
February,Taliaferro County,581,539,42,7.20%,No,
February,Tattnall County,"9,806","9,414",392,4.00%,No,
February,Taylor County,"3,257","3,142",115,3.50%,No,
February,Telfair County,"4,204","3,805",399,9.50%,No,
February,Terrell County,"3,547","3,393",154,4.30%,No,
February,Thomas County,"16,594","15,906",688,4.10%,No,
February,Tift County,"20,336","19,635",701,3.40%,No,
February,Toombs County,"11,839","11,284",555,4.70%,No,
February,Towns County,"3,867","3,668",199,5.10%,No,
February,Treutlen County,"2,679","2,531",148,5.50%,No,
February,Troup County,"37,828","36,627","1,201",3.20%,No,
February,Turner County,"3,234","3,076",158,4.90%,No,
February,Twiggs County,"2,933","2,762",171,5.80%,No,
February,Union County,"10,406","10,046",360,3.50%,No,
February,Upson County,"11,572","11,107",465,4.00%,No,
February,Walker County,"31,976","30,902","1,074",3.40%,No,
February,Walton County,"46,807","45,332","1,475",3.20%,No,
February,Ware County,"15,843","15,245",598,3.80%,No,
February,Warren County,"2,903","2,780",123,4.20%,No,
February,Washington County,"7,073","6,739",334,4.70%,No,
February,Wayne County,"11,397","10,948",449,3.90%,No,
February,Webster County,"1,044",992,52,5.00%,No,
February,Wheeler County,"1,665","1,540",125,7.50%,No,
February,White County,"16,471","16,031",440,2.70%,No,
February,Whitfield County,"43,521","41,759","1,762",4.00%,No,
February,Wilcox County,"2,753","2,637",116,4.20%,No,
February,Wilkes County,"3,891","3,678",213,5.50%,No,
February,Wilkinson County,"4,052","3,900",152,3.80%,No,
February,Worth County,"9,092","8,747",345,3.80%,No,
January,Appling County,"9,933","9,556",377,3.80%,No,
January,Atkinson County,"5,093","4,954",139,2.70%,No,
January,Bacon County,"5,069","4,880",189,3.70%,No,
January,Baker County,"1,240","1,188",52,4.20%,No,
January,Baldwin County,"17,600","16,795",805,4.60%,No,
January,Banks County,"9,862","9,577",285,2.90%,No,
January,Barrow County,"40,897","39,719","1,178",2.90%,No,
January,Bartow County,"51,285","49,518","1,767",3.40%,No,
January,Ben Hill County,"5,328","5,021",307,5.80%,No,
January,Berrien County,"7,707","7,354",353,4.60%,No,
January,Bibb County,"68,066","65,486","2,580",3.80%,No,
January,Bleckley County,"4,514","4,292",222,4.90%,No,
January,Brantley County,"7,230","6,937",293,4.10%,No,
January,Brooks County,"7,163","6,903",260,3.60%,No,
January,Bryan County,"18,213","17,646",567,3.10%,No,
January,Bulloch County,"36,430","35,049","1,381",3.80%,No,
January,Burke County,"9,315","8,819",496,5.30%,No,
January,Butts County,"10,882","10,518",364,3.30%,No,
January,Calhoun County,"2,425","2,338",87,3.60%,No,
January,Camden County,"20,901","20,132",769,3.70%,No,
January,Candler County,"5,713","5,554",159,2.80%,No,
January,Carroll County,"55,925","53,953","1,972",3.50%,No,
January,Catoosa County,"33,725","32,707","1,018",3.00%,No,
January,Charlton County,"4,875","4,689",186,3.80%,No,
January,Chatham County,"138,885","134,229","4,656",3.40%,No,
January,Chattahoochee County,"2,009","1,923",86,4.30%,No,
January,Chattooga County,"10,320","9,822",498,4.80%,No,
January,Cherokee County,"137,076","133,387","3,689",2.70%,No,
January,Clarke County,"59,317","57,259","2,058",3.50%,No,
January,Clay County,924,855,69,7.50%,No,
January,Clayton County,"139,442","133,537","5,905",4.20%,No,
January,Clinch County,"2,642","2,536",106,4.00%,No,
January,Cobb County,"429,391","416,642","12,749",3.00%,No,
January,Coffee County,"19,155","18,353",802,4.20%,No,
January,Colquitt County,"22,076","21,410",666,3.00%,No,
January,Columbia County,"75,359","73,021","2,338",3.10%,No,
January,Cook County,"8,182","7,902",280,3.40%,No,
January,Coweta County,"75,465","73,252","2,213",2.90%,No,
January,Crawford County,"5,652","5,471",181,3.20%,No,
January,Crisp County,"9,632","9,232",400,4.20%,No,
January,Dade County,"8,229","7,954",275,3.30%,No,
January,Dawson County,"12,452","12,102",350,2.80%,No,
January,Decatur County,"11,921","11,468",453,3.80%,No,
January,DeKalb County,"403,372","389,576","13,796",3.40%,No,
January,Dodge County,"7,043","6,646",397,5.60%,No,
January,Dooly County,"5,234","5,035",199,3.80%,No,
January,Dougherty County,"38,804","36,948","1,856",4.80%,No,
January,Douglas County,"73,950","71,347","2,603",3.50%,No,
January,Early County,"4,537","4,345",192,4.20%,No,
January,Echols County,"2,021","1,962",59,2.90%,No,
January,Effingham County,"30,772","29,864",908,3.00%,No,
January,Elbert County,"7,697","7,367",330,4.30%,No,
January,Emanuel County,"8,484","8,051",433,5.10%,No,
January,Evans County,"4,969","4,797",172,3.50%,No,
January,Fannin County,"11,402","11,013",389,3.40%,No,
January,Fayette County,"58,579","56,872","1,707",2.90%,No,
January,Floyd County,"44,580","42,857","1,723",3.90%,No,
January,Forsyth County,"123,329","120,053","3,276",2.70%,No,
January,Franklin County,"10,054","9,675",379,3.80%,No,
January,Fulton County,"562,727","543,329","19,398",3.40%,No,
January,Gilmer County,"11,802","11,383",419,3.60%,No,
January,Glascock County,"1,304","1,252",52,4.00%,No,
January,Glynn County,"38,821","37,499","1,322",3.40%,No,
January,Gordon County,"28,449","27,419","1,030",3.60%,No,
January,Grady County,"10,594","10,234",360,3.40%,No,
January,Greene County,"6,959","6,684",275,4.00%,No,
January,Gwinnett County,"494,212","479,378","14,834",3.00%,No,
January,Habersham County,"19,171","18,411",760,4.00%,No,
January,Hall County,"103,144","100,274","2,870",2.80%,No,
January,Hancock County,"2,546","2,398",148,5.80%,No,
January,Haralson County,"12,681","12,255",426,3.40%,No,
January,Harris County,"16,663","16,147",516,3.10%,No,
January,Hart County,"11,149","10,690",459,4.10%,No,
January,Heard County,"5,338","5,146",192,3.60%,No,
January,Henry County,"116,829","112,777","4,052",3.50%,No,
January,Houston County,"70,799","68,490","2,309",3.30%,No,
January,Irwin County,"3,451","3,279",172,5.00%,No,
January,Jackson County,"36,695","35,700",995,2.70%,No,
January,Jasper County,"7,050","6,829",221,3.10%,No,
January,Jeff Davis County,"6,119","5,831",288,4.70%,No,
January,Jefferson County,"6,774","6,430",344,5.10%,No,
January,Jenkins County,"3,112","2,967",145,4.70%,No,
January,Johnson County,"4,042","3,881",161,4.00%,No,
January,Jones County,"13,801","13,362",439,3.20%,No,
January,Lamar County,"8,316","7,983",333,4.00%,No,
January,Lanier County,"3,796","3,641",155,4.10%,No,
January,Laurens County,"19,031","18,083",948,5.00%,No,
January,Lee County,"14,921","14,449",472,3.20%,No,
January,Liberty County,"26,403","25,393","1,010",3.80%,No,
January,Lincoln County,"3,649","3,485",164,4.50%,No,
January,Long County,"8,295","8,004",291,3.50%,No,
January,Lowndes County,"51,677","49,776","1,901",3.70%,No,
January,Lumpkin County,"16,713","16,204",509,3.00%,No,
January,Macon County,"4,869","4,650",219,4.50%,No,
January,Madison County,"13,351","12,928",423,3.20%,No,
January,Marion County,"3,316","3,171",145,4.40%,No,
January,McDuffie County,"8,905","8,442",463,5.20%,No,
January,McIntosh County,"6,169","5,964",205,3.30%,No,
January,Meriwether County,"9,009","8,636",373,4.10%,No,
January,Miller County,"2,850","2,752",98,3.40%,No,
January,Mitchell County,"8,851","8,431",420,4.70%,No,
January,Monroe County,"13,086","12,659",427,3.30%,No,
January,Montgomery County,"3,838","3,659",179,4.70%,No,
January,Morgan County,"9,407","9,116",291,3.10%,No,
January,Murray County,"15,559","14,696",863,5.50%,No,
January,Muscogee County,"77,121","73,701","3,420",4.40%,No,
January,Newton County,"52,779","50,804","1,975",3.70%,No,
January,Oconee County,"19,571","19,088",483,2.50%,No,
January,Oglethorpe County,"7,038","6,809",229,3.30%,No,
January,Paulding County,"87,006","84,398","2,608",3.00%,No,
January,Peach County,"11,986","11,520",466,3.90%,No,
January,Pickens County,"15,440","14,975",465,3.00%,No,
January,Pierce County,"8,835","8,541",294,3.30%,No,
January,Pike County,"9,024","8,737",287,3.20%,No,
January,Polk County,"18,602","17,895",707,3.80%,No,
January,Pulaski County,"4,120","3,965",155,3.80%,No,
January,Putnam County,"8,253","7,896",357,4.30%,No,
January,Quitman County,793,757,36,4.50%,No,
January,Rabun County,"6,893","6,641",252,3.70%,No,
January,Randolph County,"2,612","2,496",116,4.40%,No,
January,Richmond County,"85,540","81,508","4,032",4.70%,No,
January,Rockdale County,"45,219","43,508","1,711",3.80%,No,
January,Schley County,"2,243","2,161",82,3.70%,No,
January,Screven County,"5,090","4,868",222,4.40%,No,
January,Seminole County,"3,092","2,960",132,4.30%,No,
January,Spalding County,"29,018","27,859","1,159",4.00%,No,
January,Stephens County,"10,622","10,199",423,4.00%,No,
January,Stewart County,"2,468","2,369",99,4.00%,No,
January,Sumter County,"13,068","12,401",667,5.10%,No,
January,Talbot County,"2,800","2,691",109,3.90%,No,
January,Taliaferro County,571,537,34,6.00%,No,
January,Tattnall County,"9,851","9,461",390,4.00%,No,
January,Taylor County,"3,209","3,099",110,3.40%,No,
January,Telfair County,"4,149","3,746",403,9.70%,No,
January,Terrell County,"3,555","3,390",165,4.60%,No,
January,Thomas County,"16,406","15,748",658,4.00%,No,
January,Tift County,"20,236","19,563",673,3.30%,No,
January,Toombs County,"11,799","11,215",584,4.90%,No,
January,Towns County,"3,801","3,609",192,5.10%,No,
January,Treutlen County,"2,649","2,501",148,5.60%,No,
January,Troup County,"37,502","36,360","1,142",3.00%,No,
January,Turner County,"3,242","3,090",152,4.70%,No,
January,Twiggs County,"2,925","2,749",176,6.00%,No,
January,Union County,"10,360","10,011",349,3.40%,No,
January,Upson County,"11,501","11,071",430,3.70%,No,
January,Walker County,"31,544","30,488","1,056",3.30%,No,
January,Walton County,"46,568","45,135","1,433",3.10%,No,
January,Ware County,"15,816","15,216",600,3.80%,No,
January,Warren County,"2,890","2,768",122,4.20%,No,
January,Washington County,"7,052","6,732",320,4.50%,No,
January,Wayne County,"11,311","10,848",463,4.10%,No,
January,Webster County,"1,047",998,49,4.70%,No,
January,Wheeler County,"1,666","1,541",125,7.50%,No,
January,White County,"16,271","15,842",429,2.60%,No,
January,Whitfield County,"43,889","41,408","2,481",5.70%,No,
January,Wilcox County,"2,782","2,664",118,4.20%,No,
January,Wilkes County,"3,871","3,673",198,5.10%,No,
January,Wilkinson County,"4,022","3,871",151,3.80%,No,
January,Worth County,"9,089","8,753",336,3.70%,No,
January,Georgia,"5,157,403","4,979,349","178,054",3.50%,No,
February,Georgia,"5,187,312","5,006,089","181,223",3.50%,No,
March,Georgia,"5,167,293","4,933,883","233,410",4.50%,No,
April,Georgia,"4,880,560","4,286,140","594,420",12.20%,No,
May,Georgia,"4,900,874","4,436,196","464,678",9.50%,Yes,
June,Georgia,"4,933,551","4,541,478","392,073",7.90%,Yes,
