Area,Year,Month,PeriodType,Period,LaborForce,Employment,Unemployment,UnemploymentRate,SeasonalAdjustment
Harrison County,2019,April,3,4,3951,3869,82,2.1,Not seasonally adjusted
Harrison County,2019,March,3,3,3941,3780,161,4.1,Not seasonally adjusted
Harrison County,2019,February,3,2,3960,3784,176,4.4,Not seasonally adjusted
Harrison County,2019,January,3,1,3956,3794,162,4.1,Not seasonally adjusted
Henry County,2020,May,3,5,9578,8753,825,8.6,Not seasonally adjusted
Henry County,2020,April,3,4,9552,8805,747,7.8,Not seasonally adjusted
Henry County,2020,March,3,3,9999,9603,396,4,Not seasonally adjusted
Henry County,2020,February,3,2,9790,9363,427,4.4,Not seasonally adjusted
Henry County,2020,January,3,1,9791,9306,485,5,Not seasonally adjusted
Henry County,2019,Annual Averages,1,0,9728,9364,364,3.7,Not seasonally adjusted
Henry County,2019,December,3,12,9722,9377,345,3.5,Not seasonally adjusted
Henry County,2019,November,3,11,9702,9378,324,3.3,Not seasonally adjusted
Henry County,2019,October,3,10,9757,9469,288,3,Not seasonally adjusted
Henry County,2019,September,3,9,9638,9374,264,2.7,Not seasonally adjusted
Henry County,2019,August,3,8,9426,9041,385,4.1,Not seasonally adjusted
Henry County,2019,July,3,7,9601,9187,414,4.3,Not seasonally adjusted
Henry County,2019,June,3,6,9860,9437,423,4.3,Not seasonally adjusted
Henry County,2019,May,3,5,9920,9528,392,4,Not seasonally adjusted
Henry County,2019,April,3,4,9792,9516,276,2.8,Not seasonally adjusted
Henry County,2019,March,3,3,9803,9408,395,4,Not seasonally adjusted
Henry County,2019,February,3,2,9780,9351,429,4.4,Not seasonally adjusted
Henry County,2019,January,3,1,9736,9307,429,4.4,Not seasonally adjusted
Hickory County,2020,May,3,5,3779,3557,222,5.9,Not seasonally adjusted
Hickory County,2020,April,3,4,3844,3579,265,6.9,Not seasonally adjusted
Hickory County,2020,March,3,3,3900,3708,192,4.9,Not seasonally adjusted
Hickory County,2020,February,3,2,3829,3633,196,5.1,Not seasonally adjusted
Hickory County,2020,January,3,1,3827,3610,217,5.7,Not seasonally adjusted
Hickory County,2019,Annual Averages,1,0,3842,3681,161,4.2,Not seasonally adjusted
Hickory County,2019,December,3,12,3802,3626,176,4.6,Not seasonally adjusted
Hickory County,2019,November,3,11,3806,3657,149,3.9,Not seasonally adjusted
Hickory County,2019,October,3,10,3946,3809,137,3.5,Not seasonally adjusted
Hickory County,2019,September,3,9,3949,3801,148,3.7,Not seasonally adjusted
Hickory County,2019,August,3,8,3840,3662,178,4.6,Not seasonally adjusted
Hickory County,2019,July,3,7,3883,3721,162,4.2,Not seasonally adjusted
Hickory County,2019,June,3,6,3956,3802,154,3.9,Not seasonally adjusted
Hickory County,2019,May,3,5,3888,3758,130,3.3,Not seasonally adjusted
Hickory County,2019,April,3,4,3830,3706,124,3.2,Not seasonally adjusted
Hickory County,2019,March,3,3,3763,3588,175,4.7,Not seasonally adjusted
Hickory County,2019,February,3,2,3720,3526,194,5.2,Not seasonally adjusted
Hickory County,2019,January,3,1,3726,3519,207,5.6,Not seasonally adjusted
Holt County,2020,May,3,5,2549,2458,91,3.6,Not seasonally adjusted
Holt County,2020,April,3,4,2638,2511,127,4.8,Not seasonally adjusted
Holt County,2020,March,3,3,2602,2533,69,2.7,Not seasonally adjusted
Holt County,2020,February,3,2,2589,2509,80,3.1,Not seasonally adjusted
Holt County,2020,January,3,1,2601,2505,96,3.7,Not seasonally adjusted
Holt County,2019,Annual Averages,1,0,2588,2515,73,2.8,Not seasonally adjusted
Holt County,2019,December,3,12,2534,2470,64,2.5,Not seasonally adjusted
Holt County,2019,November,3,11,2545,2486,59,2.3,Not seasonally adjusted
Holt County,2019,October,3,10,2635,2582,53,2,Not seasonally adjusted
Holt County,2019,September,3,9,2501,2449,52,2.1,Not seasonally adjusted
Holt County,2019,August,3,8,2490,2409,81,3.3,Not seasonally adjusted
Holt County,2019,July,3,7,2500,2389,111,4.4,Not seasonally adjusted
Holt County,2019,June,3,6,2597,2498,99,3.8,Not seasonally adjusted
Holt County,2019,May,3,5,2684,2613,71,2.6,Not seasonally adjusted
Holt County,2019,April,3,4,2693,2623,70,2.6,Not seasonally adjusted
Holt County,2019,March,3,3,2615,2542,73,2.8,Not seasonally adjusted
Holt County,2019,February,3,2,2626,2558,68,2.6,Not seasonally adjusted
Holt County,2019,January,3,1,2628,2557,71,2.7,Not seasonally adjusted
Howard County,2020,May,3,5,4678,4399,279,6,Not seasonally adjusted
Howard County,2020,April,3,4,4722,4462,260,5.5,Not seasonally adjusted
Howard County,2020,March,3,3,4975,4818,157,3.2,Not seasonally adjusted
Howard County,2020,February,3,2,4911,4743,168,3.4,Not seasonally adjusted
Howard County,2020,January,3,1,4908,4709,199,4.1,Not seasonally adjusted
Howard County,2019,Annual Averages,1,0,4898,4746,152,3.1,Not seasonally adjusted
Howard County,2019,December,3,12,4917,4773,144,2.9,Not seasonally adjusted
Howard County,2019,November,3,11,4928,4788,140,2.8,Not seasonally adjusted
Howard County,2019,October,3,10,4940,4824,116,2.3,Not seasonally adjusted
Howard County,2019,September,3,9,4856,4739,117,2.4,Not seasonally adjusted
Howard County,2019,August,3,8,4643,4492,151,3.3,Not seasonally adjusted
Howard County,2019,July,3,7,4721,4533,188,4,Not seasonally adjusted
Howard County,2019,June,3,6,4832,4672,160,3.3,Not seasonally adjusted
Howard County,2019,May,3,5,4936,4802,134,2.7,Not seasonally adjusted
Howard County,2019,April,3,4,4976,4864,112,2.3,Not seasonally adjusted
Howard County,2019,March,3,3,5017,4832,185,3.7,Not seasonally adjusted
Howard County,2019,February,3,2,5041,4834,207,4.1,Not seasonally adjusted
Howard County,2019,January,3,1,4964,4793,171,3.4,Not seasonally adjusted
Howell County,2020,May,3,5,16139,14736,1403,8.7,Not seasonally adjusted
Howell County,2020,April,3,4,16347,14783,1564,9.6,Not seasonally adjusted
Howell County,2020,March,3,3,16961,16213,748,4.4,Not seasonally adjusted
Howell County,2020,February,3,2,16677,16006,671,4,Not seasonally adjusted
Howell County,2020,January,3,1,16978,16021,957,5.6,Not seasonally adjusted
Howell County,2019,Annual Averages,1,0,16541,15870,671,4.1,Not seasonally adjusted
Howell County,2019,December,3,12,16898,16078,820,4.9,Not seasonally adjusted
Howell County,2019,November,3,11,16755,16031,724,4.3,Not seasonally adjusted
Howell County,2019,October,3,10,16802,16137,665,4,Not seasonally adjusted
Howell County,2019,September,3,9,16678,15983,695,4.2,Not seasonally adjusted
Howell County,2019,August,3,8,16331,15647,684,4.2,Not seasonally adjusted
Howell County,2019,July,3,7,16304,15526,778,4.8,Not seasonally adjusted
Howell County,2019,June,3,6,16583,15909,674,4.1,Not seasonally adjusted
Howell County,2019,May,3,5,16437,15886,551,3.4,Not seasonally adjusted
Howell County,2019,April,3,4,16320,15847,473,2.9,Not seasonally adjusted
Howell County,2019,March,3,3,16530,15883,647,3.9,Not seasonally adjusted
Howell County,2019,February,3,2,16462,15796,666,4,Not seasonally adjusted
Howell County,2019,January,3,1,16386,15711,675,4.1,Not seasonally adjusted
Iron County,2020,May,3,5,3501,3157,344,9.8,Not seasonally adjusted
Iron County,2020,April,3,4,3469,3175,294,8.5,Not seasonally adjusted
Iron County,2020,March,3,3,3680,3443,237,6.4,Not seasonally adjusted
Iron County,2020,February,3,2,3568,3362,206,5.8,Not seasonally adjusted
Iron County,2020,January,3,1,3565,3348,217,6.1,Not seasonally adjusted
Iron County,2019,Annual Averages,1,0,3534,3365,169,4.8,Not seasonally adjusted
Iron County,2019,December,3,12,3532,3349,183,5.2,Not seasonally adjusted
Iron County,2019,November,3,11,3499,3349,150,4.3,Not seasonally adjusted
Iron County,2019,October,3,10,3491,3373,118,3.4,Not seasonally adjusted
Iron County,2019,September,3,9,3471,3348,123,3.5,Not seasonally adjusted
Iron County,2019,August,3,8,3455,3275,180,5.2,Not seasonally adjusted
Iron County,2019,July,3,7,3510,3282,228,6.5,Not seasonally adjusted
Iron County,2019,June,3,6,3615,3439,176,4.9,Not seasonally adjusted
Iron County,2019,May,3,5,3563,3416,147,4.1,Not seasonally adjusted
Iron County,2019,April,3,4,3537,3410,127,3.6,Not seasonally adjusted
Iron County,2019,March,3,3,3581,3396,185,5.2,Not seasonally adjusted
Iron County,2019,February,3,2,3575,3379,196,5.5,Not seasonally adjusted
Iron County,2019,January,3,1,3585,3366,219,6.1,Not seasonally adjusted
Jackson County,2020,May,3,5,354270,313247,41023,11.6,Not seasonally adjusted
Jackson County,2020,April,3,4,352702,312421,40281,11.4,Not seasonally adjusted
Jackson County,2020,March,3,3,368459,352353,16106,4.4,Not seasonally adjusted
Jackson County,2020,February,3,2,364637,350283,14354,3.9,Not seasonally adjusted
Jackson County,2020,January,3,1,363222,347539,15683,4.3,Not seasonally adjusted
Jackson County,2019,Annual Averages,1,0,363539,350008,13531,3.7,Not seasonally adjusted
Jackson County,2019,December,3,12,365774,352321,13453,3.7,Not seasonally adjusted
Jackson County,2019,November,3,11,365901,353495,12406,3.4,Not seasonally adjusted
Jackson County,2019,October,3,10,365288,353499,11789,3.2,Not seasonally adjusted
Jackson County,2019,September,3,9,363860,352946,10914,3,Not seasonally adjusted
Jackson County,2019,August,3,8,366256,351433,14823,4,Not seasonally adjusted
Jackson County,2019,July,3,7,371169,354459,16710,4.5,Not seasonally adjusted
Jackson County,2019,June,3,6,367535,353695,13840,3.8,Not seasonally adjusted
Jackson County,2019,May,3,5,359802,347643,12159,3.4,Not seasonally adjusted
Jackson County,2019,April,3,4,357955,346695,11260,3.1,Not seasonally adjusted
Jackson County,2019,March,3,3,360065,345057,15008,4.2,Not seasonally adjusted
Jackson County,2019,February,3,2,359431,344882,14549,4,Not seasonally adjusted
Jackson County,2019,January,3,1,359426,343971,15455,4.3,Not seasonally adjusted
Jasper County,2020,May,3,5,56205,51185,5020,8.9,Not seasonally adjusted
Jasper County,2020,April,3,4,56789,51114,5675,10,Not seasonally adjusted
Jasper County,2020,March,3,3,58158,56138,2020,3.5,Not seasonally adjusted
Jasper County,2020,February,3,2,57797,55993,1804,3.1,Not seasonally adjusted
Jasper County,2020,January,3,1,58193,56049,2144,3.7,Not seasonally adjusted
Jasper County,2019,Annual Averages,1,0,57304,55590,1714,3,Not seasonally adjusted
Jasper County,2019,December,3,12,58049,56206,1843,3.2,Not seasonally adjusted
Jasper County,2019,November,3,11,57883,56188,1695,2.9,Not seasonally adjusted
Jasper County,2019,October,3,10,57637,56136,1501,2.6,Not seasonally adjusted
Jasper County,2019,September,3,9,57220,55802,1418,2.5,Not seasonally adjusted
Jasper County,2019,August,3,8,57231,55419,1812,3.2,Not seasonally adjusted
Jasper County,2019,July,3,7,57815,55771,2044,3.5,Not seasonally adjusted
Jasper County,2019,June,3,6,57128,55342,1786,3.1,Not seasonally adjusted
Jasper County,2019,May,3,5,56765,55148,1617,2.8,Not seasonally adjusted
Jasper County,2019,April,3,4,56486,55120,1366,2.4,Not seasonally adjusted
Jasper County,2019,March,3,3,57249,55392,1857,3.2,Not seasonally adjusted
Jasper County,2019,February,3,2,57117,55355,1762,3.1,Not seasonally adjusted
Jasper County,2019,January,3,1,57061,55198,1863,3.3,Not seasonally adjusted
Jefferson County,2020,May,3,5,114128,102488,11640,10.2,Not seasonally adjusted
Jefferson County,2020,April,3,4,114902,103023,11879,10.3,Not seasonally adjusted
Jefferson County,2020,March,3,3,120251,115406,4845,4,Not seasonally adjusted
Jefferson County,2020,February,3,2,118591,114107,4484,3.8,Not seasonally adjusted
Jefferson County,2020,January,3,1,118858,113892,4966,4.2,Not seasonally adjusted
Jefferson County,2019,Annual Averages,1,0,118177,114498,3679,3.1,Not seasonally adjusted
Jefferson County,2019,December,3,12,118932,115032,3900,3.3,Not seasonally adjusted
Jefferson County,2019,November,3,11,118964,115469,3495,2.9,Not seasonally adjusted
Jefferson County,2019,October,3,10,118536,115560,2976,2.5,Not seasonally adjusted
Jefferson County,2019,September,3,9,118438,115599,2839,2.4,Not seasonally adjusted
Jefferson County,2019,August,3,8,118919,115120,3799,3.2,Not seasonally adjusted
Jefferson County,2019,July,3,7,120563,116515,4048,3.4,Not seasonally adjusted
Jefferson County,2019,June,3,6,119201,115525,3676,3.1,Not seasonally adjusted
Jefferson County,2019,May,3,5,116881,113675,3206,2.7,Not seasonally adjusted
Jefferson County,2019,April,3,4,116451,113414,3037,2.6,Not seasonally adjusted
Jefferson County,2019,March,3,3,117317,112980,4337,3.7,Not seasonally adjusted
Jefferson County,2019,February,3,2,117460,112990,4470,3.8,Not seasonally adjusted
Jefferson County,2019,January,3,1,116460,112093,4367,3.7,Not seasonally adjusted
Johnson County,2020,May,3,5,23070,21196,1874,8.1,Not seasonally adjusted
Johnson County,2020,April,3,4,23231,21279,1952,8.4,Not seasonally adjusted
Johnson County,2020,March,3,3,24103,23063,1040,4.3,Not seasonally adjusted
Johnson County,2020,February,3,2,23560,22539,1021,4.3,Not seasonally adjusted
Johnson County,2020,January,3,1,23487,22385,1102,4.7,Not seasonally adjusted
Johnson County,2019,Annual Averages,1,0,23105,22247,858,3.7,Not seasonally adjusted
Johnson County,2019,December,3,12,23201,22369,832,3.6,Not seasonally adjusted
Johnson County,2019,November,3,11,23430,22618,812,3.5,Not seasonally adjusted
Johnson County,2019,October,3,10,23572,22785,787,3.3,Not seasonally adjusted
Johnson County,2019,September,3,9,23254,22593,661,2.8,Not seasonally adjusted
Johnson County,2019,August,3,8,22713,21793,920,4.1,Not seasonally adjusted
Johnson County,2019,July,3,7,22833,21728,1105,4.8,Not seasonally adjusted
Johnson County,2019,June,3,6,23196,22304,892,3.8,Not seasonally adjusted
Johnson County,2019,May,3,5,23062,22295,767,3.3,Not seasonally adjusted
Johnson County,2019,April,3,4,23127,22433,694,3,Not seasonally adjusted
Johnson County,2019,March,3,3,22996,22023,973,4.2,Not seasonally adjusted
Johnson County,2019,February,3,2,22996,22076,920,4,Not seasonally adjusted
Johnson County,2019,January,3,1,22876,21944,932,4.1,Not seasonally adjusted
Knox County,2020,May,3,5,1742,1673,69,4,Not seasonally adjusted
Knox County,2020,April,3,4,1780,1708,72,4,Not seasonally adjusted
Knox County,2020,March,3,3,1806,1739,67,3.7,Not seasonally adjusted
Knox County,2020,February,3,2,1808,1720,88,4.9,Not seasonally adjusted
Knox County,2020,January,3,1,1803,1734,69,3.8,Not seasonally adjusted
Knox County,2019,Annual Averages,1,0,1772,1720,52,2.9,Not seasonally adjusted
Knox County,2019,December,3,12,1777,1724,53,3,Not seasonally adjusted
Knox County,2019,November,3,11,1764,1721,43,2.4,Not seasonally adjusted
Knox County,2019,October,3,10,1823,1787,36,2,Not seasonally adjusted
Knox County,2019,September,3,9,1740,1705,35,2,Not seasonally adjusted
Knox County,2019,August,3,8,1669,1621,48,2.9,Not seasonally adjusted
Knox County,2019,July,3,7,1712,1651,61,3.6,Not seasonally adjusted
Knox County,2019,June,3,6,1751,1693,58,3.3,Not seasonally adjusted
Knox County,2019,May,3,5,1804,1756,48,2.7,Not seasonally adjusted
Knox County,2019,April,3,4,1833,1784,49,2.7,Not seasonally adjusted
Knox County,2019,March,3,3,1794,1735,59,3.3,Not seasonally adjusted
Knox County,2019,February,3,2,1774,1712,62,3.5,Not seasonally adjusted
Knox County,2019,January,3,1,1814,1746,68,3.7,Not seasonally adjusted
Laclede County,2020,May,3,5,17227,15146,2081,12.1,Not seasonally adjusted
Laclede County,2020,April,3,4,17908,15242,2666,14.9,Not seasonally adjusted
Laclede County,2020,March,3,3,17551,16493,1058,6,Not seasonally adjusted
Laclede County,2020,February,3,2,17273,16243,1030,6,Not seasonally adjusted
Laclede County,2020,January,3,1,17442,16174,1268,7.3,Not seasonally adjusted
Laclede County,2019,Annual Averages,1,0,17386,16190,1196,6.9,Not seasonally adjusted
Laclede County,2019,December,3,12,17760,15981,1779,10,Not seasonally adjusted
Laclede County,2019,November,3,11,17589,16017,1572,8.9,Not seasonally adjusted
Laclede County,2019,October,3,10,17909,16227,1682,9.4,Not seasonally adjusted
Laclede County,2019,September,3,9,18102,16095,2007,11.1,Not seasonally adjusted
Laclede County,2019,August,3,8,17283,15695,1588,9.2,Not seasonally adjusted
Laclede County,2019,July,3,7,16771,16067,704,4.2,Not seasonally adjusted
Laclede County,2019,June,3,6,17178,16482,696,4.1,Not seasonally adjusted
Laclede County,2019,May,3,5,17988,16487,1501,8.3,Not seasonally adjusted
Laclede County,2019,April,3,4,17196,16470,726,4.2,Not seasonally adjusted
Laclede County,2019,March,3,3,16986,16231,755,4.4,Not seasonally adjusted
Laclede County,2019,February,3,2,16933,16278,655,3.9,Not seasonally adjusted
Laclede County,2019,January,3,1,16929,16247,682,4,Not seasonally adjusted
Lafayette County,2020,May,3,5,16249,14928,1321,8.1,Not seasonally adjusted
Lafayette County,2020,April,3,4,16424,15010,1414,8.6,Not seasonally adjusted
Lafayette County,2020,March,3,3,17116,16464,652,3.8,Not seasonally adjusted
Lafayette County,2020,February,3,2,17049,16401,648,3.8,Not seasonally adjusted
Lafayette County,2020,January,3,1,16961,16256,705,4.2,Not seasonally adjusted
Lafayette County,2019,Annual Averages,1,0,16847,16328,519,3.1,Not seasonally adjusted
Lafayette County,2019,December,3,12,16849,16331,518,3.1,Not seasonally adjusted
Lafayette County,2019,November,3,11,16908,16422,486,2.9,Not seasonally adjusted
Lafayette County,2019,October,3,10,17009,16590,419,2.5,Not seasonally adjusted
Lafayette County,2019,September,3,9,16726,16335,391,2.3,Not seasonally adjusted
Lafayette County,2019,August,3,8,16738,16246,492,2.9,Not seasonally adjusted
Lafayette County,2019,July,3,7,17051,16412,639,3.7,Not seasonally adjusted
Lafayette County,2019,June,3,6,16911,16374,537,3.2,Not seasonally adjusted
Lafayette County,2019,May,3,5,16824,16369,455,2.7,Not seasonally adjusted
Lafayette County,2019,April,3,4,16842,16411,431,2.6,Not seasonally adjusted
Lafayette County,2019,March,3,3,16788,16170,618,3.7,Not seasonally adjusted
Lafayette County,2019,February,3,2,16798,16163,635,3.8,Not seasonally adjusted
Lafayette County,2019,January,3,1,16719,16115,604,3.6,Not seasonally adjusted
Lawrence County,2020,May,3,5,17914,16423,1491,8.3,Not seasonally adjusted
Lawrence County,2020,April,3,4,18085,16559,1526,8.4,Not seasonally adjusted
Lawrence County,2020,March,3,3,18677,17813,864,4.6,Not seasonally adjusted
Lawrence County,2020,February,3,2,18219,17460,759,4.2,Not seasonally adjusted
Lawrence County,2020,January,3,1,18343,17445,898,4.9,Not seasonally adjusted
Lawrence County,2019,Annual Averages,1,0,18018,17385,633,3.5,Not seasonally adjusted
Lawrence County,2019,December,3,12,18027,17358,669,3.7,Not seasonally adjusted
Lawrence County,2019,November,3,11,18122,17496,626,3.5,Not seasonally adjusted
Lawrence County,2019,October,3,10,18274,17766,508,2.8,Not seasonally adjusted
Lawrence County,2019,September,3,9,17910,17433,477,2.7,Not seasonally adjusted
Lawrence County,2019,August,3,8,17419,16755,664,3.8,Not seasonally adjusted
Lawrence County,2019,July,3,7,17778,17024,754,4.2,Not seasonally adjusted
Lawrence County,2019,June,3,6,18071,17462,609,3.4,Not seasonally adjusted
Lawrence County,2019,May,3,5,18047,17531,516,2.9,Not seasonally adjusted
Lawrence County,2019,April,3,4,18110,17619,491,2.7,Not seasonally adjusted
Lawrence County,2019,March,3,3,18207,17425,782,4.3,Not seasonally adjusted
Lawrence County,2019,February,3,2,18169,17397,772,4.2,Not seasonally adjusted
Lawrence County,2019,January,3,1,18089,17356,733,4.1,Not seasonally adjusted
Lewis County,2020,May,3,5,5057,4679,378,7.5,Not seasonally adjusted
Lewis County,2020,April,3,4,5138,4766,372,7.2,Not seasonally adjusted
Lewis County,2020,March,3,3,5117,4935,182,3.6,Not seasonally adjusted
Lewis County,2020,February,3,2,5011,4828,183,3.7,Not seasonally adjusted
Lewis County,2020,January,3,1,5011,4808,203,4.1,Not seasonally adjusted
Lewis County,2019,Annual Averages,1,0,5003,4843,160,3.2,Not seasonally adjusted
Lewis County,2019,December,3,12,5004,4841,163,3.3,Not seasonally adjusted
Lewis County,2019,November,3,11,4984,4838,146,2.9,Not seasonally adjusted
Lewis County,2019,October,3,10,5088,4957,131,2.6,Not seasonally adjusted
Lewis County,2019,September,3,9,4943,4813,130,2.6,Not seasonally adjusted
Lewis County,2019,August,3,8,4815,4645,170,3.5,Not seasonally adjusted
Lewis County,2019,July,3,7,4864,4689,175,3.6,Not seasonally adjusted
Lewis County,2019,June,3,6,5008,4851,157,3.1,Not seasonally adjusted
Lewis County,2019,May,3,5,5113,4969,144,2.8,Not seasonally adjusted
Lewis County,2019,April,3,4,5107,4962,145,2.8,Not seasonally adjusted
Lewis County,2019,March,3,3,5072,4875,197,3.9,Not seasonally adjusted
Lewis County,2019,February,3,2,5040,4854,186,3.7,Not seasonally adjusted
Lewis County,2019,January,3,1,4998,4824,174,3.5,Not seasonally adjusted
Lincoln County,2020,May,3,5,28038,24849,3189,11.4,Not seasonally adjusted
Lincoln County,2020,April,3,4,28607,25069,3538,12.4,Not seasonally adjusted
Lincoln County,2020,March,3,3,28895,27739,1156,4,Not seasonally adjusted
Lincoln County,2020,February,3,2,28539,27439,1100,3.9,Not seasonally adjusted
Lincoln County,2020,January,3,1,28983,27361,1622,5.6,Not seasonally adjusted
Lincoln County,2019,Annual Averages,1,0,28448,27497,951,3.3,Not seasonally adjusted
Lincoln County,2019,December,3,12,28476,27532,944,3.3,Not seasonally adjusted
Lincoln County,2019,November,3,11,28521,27673,848,3,Not seasonally adjusted
Lincoln County,2019,October,3,10,28737,27814,923,3.2,Not seasonally adjusted
Lincoln County,2019,September,3,9,28366,27665,701,2.5,Not seasonally adjusted
Lincoln County,2019,August,3,8,28462,27530,932,3.3,Not seasonally adjusted
Lincoln County,2019,July,3,7,28901,27882,1019,3.5,Not seasonally adjusted
Lincoln County,2019,June,3,6,28627,27660,967,3.4,Not seasonally adjusted
Lincoln County,2019,May,3,5,28230,27422,808,2.9,Not seasonally adjusted
Lincoln County,2019,April,3,4,28222,27430,792,2.8,Not seasonally adjusted
Lincoln County,2019,March,3,3,28334,27190,1144,4,Not seasonally adjusted
Lincoln County,2019,February,3,2,28375,27196,1179,4.2,Not seasonally adjusted
Lincoln County,2019,January,3,1,28122,26968,1154,4.1,Not seasonally adjusted
Linn County,2020,May,3,5,4956,4624,332,6.7,Not seasonally adjusted
Linn County,2020,April,3,4,5094,4670,424,8.3,Not seasonally adjusted
Linn County,2020,March,3,3,5268,4980,288,5.5,Not seasonally adjusted
Linn County,2020,February,3,2,5157,4880,277,5.4,Not seasonally adjusted
Linn County,2020,January,3,1,5188,4877,311,6,Not seasonally adjusted
Linn County,2019,Annual Averages,1,0,5124,4875,249,4.9,Not seasonally adjusted
Linn County,2019,December,3,12,5150,4893,257,5,Not seasonally adjusted
Linn County,2019,November,3,11,5182,4951,231,4.5,Not seasonally adjusted
Linn County,2019,October,3,10,5238,5050,188,3.6,Not seasonally adjusted
Linn County,2019,September,3,9,5037,4849,188,3.7,Not seasonally adjusted
Linn County,2019,August,3,8,4943,4634,309,6.3,Not seasonally adjusted
Linn County,2019,July,3,7,4956,4651,305,6.2,Not seasonally adjusted
Linn County,2019,June,3,6,5197,4931,266,5.1,Not seasonally adjusted
Linn County,2019,May,3,5,5197,4976,221,4.3,Not seasonally adjusted
Linn County,2019,April,3,4,5126,4957,169,3.3,Not seasonally adjusted
Linn County,2019,March,3,3,5147,4873,274,5.3,Not seasonally adjusted
Linn County,2019,February,3,2,5149,4847,302,5.9,Not seasonally adjusted
Linn County,2019,January,3,1,5175,4892,283,5.5,Not seasonally adjusted
Livingston County,2020,May,3,5,7225,6915,310,4.3,Not seasonally adjusted
Livingston County,2020,April,3,4,7460,7016,444,6,Not seasonally adjusted
Livingston County,2020,March,3,3,7599,7374,225,3,Not seasonally adjusted
Livingston County,2020,February,3,2,7443,7211,232,3.1,Not seasonally adjusted
Livingston County,2020,January,3,1,7431,7161,270,3.6,Not seasonally adjusted
Livingston County,2019,Annual Averages,1,0,7357,7170,187,2.5,Not seasonally adjusted
Livingston County,2019,December,3,12,7328,7128,200,2.7,Not seasonally adjusted
Livingston County,2019,November,3,11,7283,7095,188,2.6,Not seasonally adjusted
Livingston County,2019,October,3,10,7432,7268,164,2.2,Not seasonally adjusted
Livingston County,2019,September,3,9,7202,7063,139,1.9,Not seasonally adjusted
Livingston County,2019,August,3,8,7141,6955,186,2.6,Not seasonally adjusted
Livingston County,2019,July,3,7,7354,7168,186,2.5,Not seasonally adjusted
Livingston County,2019,June,3,6,7411,7242,169,2.3,Not seasonally adjusted
Livingston County,2019,May,3,5,7387,7225,162,2.2,Not seasonally adjusted
Livingston County,2019,April,3,4,7488,7343,145,1.9,Not seasonally adjusted
Livingston County,2019,March,3,3,7391,7158,233,3.2,Not seasonally adjusted
Livingston County,2019,February,3,2,7418,7171,247,3.3,Not seasonally adjusted
Livingston County,2019,January,3,1,7448,7222,226,3,Not seasonally adjusted
Macon County,2020,May,3,5,7281,6875,406,5.6,Not seasonally adjusted
Macon County,2020,April,3,4,7388,6932,456,6.2,Not seasonally adjusted
Macon County,2020,March,3,3,7745,7406,339,4.4,Not seasonally adjusted
Macon County,2020,February,3,2,7645,7333,312,4.1,Not seasonally adjusted
Macon County,2020,January,3,1,7688,7352,336,4.4,Not seasonally adjusted
Macon County,2019,Annual Averages,1,0,7535,7280,255,3.4,Not seasonally adjusted
Macon County,2019,December,3,12,7594,7330,264,3.5,Not seasonally adjusted
Macon County,2019,November,3,11,7537,7314,223,3,Not seasonally adjusted
Macon County,2019,October,3,10,7609,7425,184,2.4,Not seasonally adjusted
Macon County,2019,September,3,9,7419,7230,189,2.5,Not seasonally adjusted
Macon County,2019,August,3,8,7198,6946,252,3.5,Not seasonally adjusted
Macon County,2019,July,3,7,7466,7197,269,3.6,Not seasonally adjusted
Macon County,2019,June,3,6,7558,7314,244,3.2,Not seasonally adjusted
Macon County,2019,May,3,5,7593,7379,214,2.8,Not seasonally adjusted
Macon County,2019,April,3,4,7641,7439,202,2.6,Not seasonally adjusted
Macon County,2019,March,3,3,7586,7255,331,4.4,Not seasonally adjusted
Macon County,2019,February,3,2,7581,7245,336,4.4,Not seasonally adjusted
Macon County,2019,January,3,1,7634,7281,353,4.6,Not seasonally adjusted
Madison County,2020,May,3,5,5519,5010,509,9.2,Not seasonally adjusted
Madison County,2020,April,3,4,5611,5041,570,10.2,Not seasonally adjusted
Madison County,2020,March,3,3,5757,5461,296,5.1,Not seasonally adjusted
Madison County,2020,February,3,2,5535,5285,250,4.5,Not seasonally adjusted
Madison County,2020,January,3,1,5543,5288,255,4.6,Not seasonally adjusted
Madison County,2019,Annual Averages,1,0,5484,5295,189,3.4,Not seasonally adjusted
Madison County,2019,December,3,12,5509,5301,208,3.8,Not seasonally adjusted
Madison County,2019,November,3,11,5480,5301,179,3.3,Not seasonally adjusted
Madison County,2019,October,3,10,5504,5361,143,2.6,Not seasonally adjusted
Madison County,2019,September,3,9,5434,5292,142,2.6,Not seasonally adjusted
Madison County,2019,August,3,8,5428,5242,186,3.4,Not seasonally adjusted
Madison County,2019,July,3,7,5433,5201,232,4.3,Not seasonally adjusted
Madison County,2019,June,3,6,5494,5296,198,3.6,Not seasonally adjusted
Madison County,2019,May,3,5,5536,5363,173,3.1,Not seasonally adjusted
Madison County,2019,April,3,4,5497,5339,158,2.9,Not seasonally adjusted
Madison County,2019,March,3,3,5515,5313,202,3.7,Not seasonally adjusted
Madison County,2019,February,3,2,5492,5269,223,4.1,Not seasonally adjusted
Madison County,2019,January,3,1,5483,5265,218,4,Not seasonally adjusted
Maries County,2020,May,3,5,3811,3575,236,6.2,Not seasonally adjusted
Maries County,2020,April,3,4,3808,3594,214,5.6,Not seasonally adjusted
